title,code
agricultural produce washer,51-9192
ampoule washing machine operator,51-9192
benzene washer operator,51-9192
benzol operator,51-9192
benzol still operator,51-9192
bleach boiler filler,51-9192
bleach plant operator,51-9192
bleacher operator,51-9192
bleaching machine operator,51-9192
blow pit operator,51-9192
bottle washer,51-9192
branner machine tender,51-9192
brass pickler,51-9192
brown stock washer,51-9192
cip technician (clean in places technician),51-9192
coring machine operator,51-9192
date pitter,51-9192
definer,51-9192
deflash and wash operator,51-9192
degreaser,51-9192
dehairer,51-9192
dehydrator,51-9192
delimer,51-9192
dip lube operator,51-9192
drencher,51-9192
dried fruit washer,51-9192
dry charge process attendant,51-9192
dust collector attendant,51-9192
electrode cleaning machine operator,51-9192
equipment sanitizer,51-9192
filter washer and presser,51-9192
flattening press operator,51-9192
fruit washer,51-9192
ham doctor,51-9192
ham pumper,51-9192
immersion metalcleaner,51-9192
keg washer,51-9192
machine container washer,51-9192
machine silver stripper,51-9192
meat pickler,51-9192
meat scrubber,51-9192
metal cleaner,51-9192
metal neutralizer,51-9192
metal washing machine operator,51-9192
oyster washer,51-9192
paint stripper,51-9192
pickling operator,51-9192
pickling tank operator,51-9192
pigs feet cleaner,51-9192
precipitate washer,51-9192
pressroom worker,51-9192
process attendant,51-9192
production sanitizer,51-9192
pulp bleacher,51-9192
rotary drum tanner,51-9192
rubber washer,51-9192
sanitation tank washer,51-9192
scrub wheel operator,51-9192
scrubber machine tender,51-9192
scrubber operator,51-9192
semiconductor wafers cleaning machine tender,51-9192
tank washer,51-9192
trommel tender,51-9192
tubber,51-9192
tumbling machine operator,51-9192
vegetable washer,51-9192
vegetable washing machine operator,51-9192
vein pumper,51-9192
wafer cleaner,51-9192
wash helper,51-9192
wash mill operator,51-9192
wash tank tender,51-9192
washhouse hand,51-9192
wheat cleaner,51-9192
wheat washer,51-9192
wool washer,51-9192
yeast washer,51-9192
batch freezer,51-9193
batch freezer operator,51-9193
brewery cellar worker,51-9193
brewery worker,51-9193
chilling hood operator,51-9193
cooler,51-9193
cooling machine operator,51-9193
cooling pan tender,51-9193
crystalizer,51-9193
crystalizer operator,51-9193
dispensing lead,51-9193
dispensing operator,51-9193
freezer,51-9193
freezer laboratory technician,51-9193
freezer machine operator,51-9193
freezer tunnel operator,51-9193
freezing machine operator,51-9193
hog cooler,51-9193
ice cream vault worker,51-9193
ice maker,51-9193
ice plant operator,51-9193
ice puller,51-9193
icebox man,51-9193
icebox worker,51-9193
meat cooler,51-9193
mold cooler,51-9193
paradichlorobenzene tender,51-9193
refrigeration engine operator,51-9193
refrigeration person,51-9193
votator machine operator,51-9193
block engraver,51-9194
bowling ball engraver,51-9194
cold etch operator,51-9194
decorative engraver,51-9194
dynamic etching processor,51-9194
engraving equipment operator,51-9194
engraving patternmaker,51-9194
engraving plate maker,51-9194
enhanced environmental operator,51-9194
etched circuit processor,51-9194
etching operator,51-9194
glass calibrator,51-9194
glass engraver,51-9194
hand engraver,51-9194
hand roller engraver,51-9194
hand screen printer,51-9194
hard metals hand engraver,51-9194
jewelry engraver,51-9194
jogger operator,51-9194
laser etch technician,51-9194
laser etching technician,51-9194
leaf stamper,51-9194
lens engraver,51-9194
machine precision engraver,51-9194
machine precision etcher,51-9194
mold engraver,51-9194
music engraver,51-9194
optical glass etcher,51-9194
picture engraver,51-9194
plate cutter,51-9194
proof plate maker,51-9194
re-etcher,51-9194
retoucher,51-9194
rework operator,51-9194
roller engraver,51-9194
seals engraver,51-9194
show card letterer,51-9194
show card writer,51-9194
siderographer,51-9194
siderographist,51-9194
silk screen etcher,51-9194
silverware etcher,51-9194
soft metals hand engraver,51-9194
steel die engraver,51-9194
steel engraver,51-9194
stone engraver,51-9194
textile engraver,51-9194
wax engraver,51-9194
wood block artist,51-9194
wood engraver,51-9194
zinc plate cutter,51-9194
batter out,51-9195
bit gatherer,51-9195
hand box folder,51-9195
nipple maker,51-9195
ornamenter,51-9195
foot caster,51-9195
granite fabricator,51-9195
granite slab fabricator,51-9195
granite worker,51-9195
hand stonecutter,51-9195
marble carver,51-9195
marble cutter,51-9195
monument letterer,51-9195
statue carver,51-9195
stone decorator,51-9195
stone sandblaster,51-9195
stoneworker,51-9195
tombstone carver,51-9195
vault maker,51-9195
bender,51-9195
blow molder,51-9195
bottle blower,51-9195
fiber glass worker,51-9195
glass block installer,51-9195
glass blower technician,51-9195
glass blowing instructor,51-9195
glass blowing lathe operator,51-9195
glass forming engineer,51-9195
glassware finisher,51-9195
laboratory apparatus glass blower,51-9195
neon pumper,51-9195
scientific glass blower,51-9195
tube bender,51-9195
tubing bender,51-9195
ware finisher,51-9195
clay artisan,51-9195
clay artist,51-9195
jiggerman,51-9195
pot maker,51-9195
pottery machine operator,51-9195
studio potter,51-9195
adobe block maker,51-9195
adobe maker,51-9195
artificial candy maker,51-9195
broom maker,51-9195
burial vault setter,51-9195
candy roller,51-9195
catheter builder,51-9195
cell builder,51-9195
cell maker,51-9195
cement fittings maker,51-9195
clay molder,51-9195
clay thrower,51-9195
compo caster,51-9195
composition molder,51-9195
concrete float maker,51-9195
concrete pipe maker,51-9195
concrete stone fabricator,51-9195
cultured marble products maker,51-9195
denture model maker,51-9195
denture packer,51-9195
filling operator,51-9195
hand candle molder,51-9195
hand cigar maker,51-9195
hand mold maker,51-9195
hand molder,51-9195
hand molder and caster,51-9195
hand tile maker,51-9195
hand wrapper operator,51-9195
handle maker,51-9195
handmade tile artist,51-9195
injection mold machine operator,51-9195
injection mold operator,51-9195
injection mold process technician,51-9195
laundry tub maker,51-9195
loader-demolder,51-9195
machine-made shoe unit worker,51-9195
mannequin molder,51-9195
mascara molder,51-9195
mill helper,51-9195
mold blower,51-9195
mold builder,51-9195
mold filler and drainer,51-9195
mold filling operator,51-9195
molding operator,51-9195
mosaic tile maker,51-9195
novelty candy maker,51-9195
plaster caster,51-9195
plaster die maker,51-9195
plaster maker,51-9195
plaster mold maker,51-9195
plaster pattern caster,51-9195
plastic dolls mold filler,51-9195
plastic injection mold maker,51-9195
plastic injection mold operator,51-9195
"precision mold and pattern caster, except nonferrous metal",51-9195
scagliola mechanic,51-9195
stogy maker,51-9195
stogy roller,51-9195
terra cotta mold maker,51-9195
terrazzo tile maker,51-9195
tile molder,51-9195
tobacco wetter,51-9195
toby maker,51-9195
toilet products molder,51-9195
watch crystal molder,51-9195
bag machine helper,51-9196
bag machine tender,51-9196
bag presser,51-9196
bag valver,51-9196
box brander,51-9196
box finisher,51-9196
box folding machine operator,51-9196
box liner,51-9196
box machine operator,51-9196
box stamper,51-9196
card folder,51-9196
carton folder,51-9196
carton maker,51-9196
cellophane bag machine operator,51-9196
convolute tube winder,51-9196
corrugated box machine operator,51-9196
crepe machine operator,51-9196
crepe maker,51-9196
cup machine operator,51-9196
envelope folding machine operator,51-9196
envelope maker,51-9196
feeder worker power unit operator,51-9196
folder machine adjuster,51-9196
four corner former machine operator,51-9196
label folder,51-9196
label rewinder,51-9196
lining folder,51-9196
mat gauger,51-9196
matchbook maker,51-9196
offset label rewinder,51-9196
paper bag machine operator,51-9196
paper bag maker,51-9196
paper cap machine operator,51-9196
paper cone machine operator,51-9196
paper cup machine tender,51-9196
paper feeder,51-9196
paper folder,51-9196
paper folding machine operator,51-9196
paper goods machine set-up operator,51-9196
paper maker,51-9196
paper making machine operator,51-9196
paper plate machine tender,51-9196
paper reclaiming machine operator,51-9196
paper rewinder,51-9196
paper roll machine operator,51-9196
paper roller,51-9196
paper ruler,51-9196
paper supervisor,51-9196
paper tube machine operator,51-9196
paper winder,51-9196
production corrugator,51-9196
quad stayer,51-9196
rotoformer backtender,51-9196
side seam machine operator,51-9196
spiral tube winder,51-9196
valve machine operator,51-9196
automobile tire builder,51-9197
belt machine operator,51-9197
blow mold technician,51-9197
cord tire builder,51-9197
cushion gum applicator,51-9197
injection molding engineer,51-9197
injection molding manager,51-9197
lead injection mold technician,51-9197
lead vulcanizing operator,51-9197
molded goods operator,51-9197
orbitread operator,51-9197
passenger tire builder,51-9197
retread operator,51-9197
retread technician,51-9197
tire builder operator,51-9197
tire curer,51-9197
tire fabricator,51-9197
tire layer,51-9197
tire maker,51-9197
tire rebuilder,51-9197
tire recapping machine operator,51-9197
tire repairman,51-9197
tread booker,51-9197
tread builder,51-9197
tube builder,51-9197
abrasive mixer helper,51-9198
advertising material distributor,51-9198
aircraft machinist helper,51-9198
almond blancher,51-9198
alodize machine helper,51-9198
anglesmith helper,51-9198
annealer helper,51-9198
asbestos brake lining finisher helper,51-9198
assembly inspector helper,51-9198
auto painter helper,51-9198
automatic pad making machine operator helper,51-9198
automatic pad-making machine operator helper,51-9198
automotive painter helper,51-9198
bag machine operator helper,51-9198
baker helper,51-9198
bakery helper,51-9198
band salvager,51-9198
bander and cellophaner machine helper,51-9198
barrel assembler helper,51-9198
barrel charrer helper,51-9198
barrel loader and cleaner,51-9198
barrel raiser helper,51-9198
barrow worker helper,51-9198
beamer helper,51-9198
beater room helper,51-9198
beater worker helper,51-9198
bench worker helper,51-9198
bender helper,51-9198
bias cutter helper,51-9198
bias machine operator helper,51-9198
billposter,51-9198
blanket winder helper,51-9198
blast furnace helper,51-9198
blast furnace keeper helper,51-9198
blender helper,51-9198
blending tank helper,51-9198
blending tank tender helper,51-9198
blow down helper,51-9198
blow pit helper,51-9198
boiler helper,51-9198
bolter helper,51-9198
boot and shoe laborer,51-9198
bottler helper,51-9198
box blank machine operator helper,51-9198
brass molder helper,51-9198
brewer helper,51-9198
briquette machine operator helper,51-9198
busher helper,51-9198
butcher helper,51-9198
buzzsaw operator helper,51-9198
cable testers helper,51-9198
cable worker helper,51-9198
cake press operator helper,51-9198
calciner operator helper,51-9198
calender let off helper,51-9198
calender machine operator helper,51-9198
calender operator helper,51-9198
calender wind up helper,51-9198
calender worker helper,51-9198
cane weigher helper,51-9198
canvas shop laborer,51-9198
car worker helper,51-9198
carbon furnace operator helper,51-9198
carton forming machine helper,51-9198
casting house worker,51-9198
casting machine operator helper,51-9198
casting operator helper,51-9198
casting room helper,51-9198
casting wheel operator helper,51-9198
catcher helper,51-9198
char filter operator helper,51-9198
charger operator helper,51-9198
charm filter operator helper,51-9198
chemical compounder helper,51-9198
chemical processing laborer,51-9198
chrome plater helper,51-9198
circular sawyer helper,51-9198
clamp remover,51-9198
clarifier operator helper,51-9198
cleaner and polisher,51-9198
cloth shrinking machine operators helper,51-9198
coating machine operator helper,51-9198
cocoa bean roaster helper,51-9198
compounder helper,51-9198
compressed gas plant worker,51-9198
contact acid plant operator helper,51-9198
continuous pickling line pickler helper,51-9198
control room helper,51-9198
cook helper,51-9198
cooler room worker,51-9198
coppersmith helper,51-9198
corrugator helper,51-9198
corrugator operator helper,51-9198
cotton ginner helper,51-9198
covering machine operator helper,51-9198
creping machine operator helper,51-9198
crutcher helper,51-9198
cupola melter helper,51-9198
cupola tapper helper,51-9198
cupola tender helper,51-9198
custom feed mill operator helper,51-9198
cutter helper,51-9198
cutting machine tender helper,51-9198
cylinder die machine helper,51-9198
dairy helper,51-9198
dental ceramist helper,51-9198
depilatory painter,51-9198
disc-pad knockout worker,51-9198
disc-pad plate filler,51-9198
distillation operator helper,51-9198
distillery miller helper,51-9198
doll wigs hackler,51-9198
doubler helper,51-9198
drawbench operator helper,51-9198
drawing in machine tender helper,51-9198
drier helper,51-9198
drier operator helper,51-9198
drill press operator helper,51-9198
